ticker,sector
CEATLTD.NS,AUTOMOBILE_AND_AUTO_COMPONENTS
CEIGALL.NS,UNKNOWN
CELEBRITY.NS,UNKNOWN
CELLO.NS,UNKNOWN
CEMPRO.NS,UNKNOWN
CENTENKA.NS,UNKNOWN
CENTEXT.NS,UNKNOWN
CENTRALBK.NS,FINANCIAL_SERVICES
CENTRUM.NS,UNKNOWN
CENTUM.NS,UNKNOWN
CENTURYPLY.NS,CONSUMER_DURABLES
CERA.NS,CONSUMER_DURABLES
CEREBRAINT.NS,UNKNOWN
CESC.NS,POWER
CEWATER.NS,UNKNOWN
CGCL.NS,FINANCIAL_SERVICES
CGPOWER.NS,CAPITAL_GOODS
CHALET.NS,CONSUMER_SERVICES
CHAMBLFERT.NS,CHEMICALS
CHEMBOND.NS,UNKNOWN
CHEMBONDCH.NS,UNKNOWN
CHEMCON.NS,UNKNOWN
CHEMFAB.NS,UNKNOWN
CHEMPLASTS.NS,UNKNOWN
CHENNPETRO.NS,OIL_GAS_AND_CONSUMABLE_FUELS
CHEVIOT.NS,UNKNOWN
CHOICEIN.NS,FINANCIAL_SERVICES
CHOLAFIN.NS,FINANCIAL_SERVICES
CHOLAHLDNG.NS,FINANCIAL_SERVICES
CIEINDIA.NS,UNKNOWN
CIFL.NS,UNKNOWN
CIGNITITEC.NS,UNKNOWN
CINELINE.NS,UNKNOWN
CINEVISTA.NS,UNKNOWN
CIPLA.NS,HEALTHCARE
CLEAN.NS,CHEMICALS
CLEDUCATE.NS,UNKNOWN
CLSEL.NS,UNKNOWN
CMSINFO.NS,UNKNOWN
COALINDIA.NS,OIL_GAS_AND_CONSUMABLE_FUELS
COASTCORP.NS,UNKNOWN
COCHINSHIP.NS,CAPITAL_GOODS
COFFEEDAY.NS,UNKNOWN
COFORGE.NS,INFORMATION_TECHNOLOGY
COHANCE.NS,HEALTHCARE
COLPAL.NS,FAST_MOVING_CONSUMER_GOODS
COMPINFO.NS,UNKNOWN
COMPUSOFT.NS,UNKNOWN
COMSYN.NS,UNKNOWN
